北京大学|116.310918,39.992873
清华大学|116.326936,40.003213
中国人民大学|116.319754,39.970457
北京理工大学|116.310850,39.960914
北京航空航天大学|113.941072,22.527119
北京师范大学|116.364139,39.962637
中央民族大学|116.320491,39.950579
中国农业大学|87.571073,43.813450
西安交通大学|129.603683,44.561042
西北农林科技大学|108.074122,34.281562
西北工业大学|108.910038,34.240884
湖南大学|112.945311,28.178169
中南大学|112.931736,28.163572
国防科技大学|108.967659,34.071423
同济大学|121.506357,31.282086
复旦大学|120.255965,35.969640
上海交通大学|104.080817,30.402719
华东师范大学|121.640049,31.189858
四川大学|104.092227,30.633585
电子科技大学|104.705900,28.791154
武汉大学|114.364339,30.536334
华中科技大学|114.413301,30.513197
南京大学|120.737801,31.276387
东南大学|120.745343,31.270273
天津大学|117.162958,39.110669
南开大学|117.157944,39.106283
东北大学|123.418324,41.765235
大连理工大学|121.525020,38.883244
山东大学|117.067901,36.687174
中国海洋大学|110.308346,21.148394
中山大学|113.392517,22.517024
华南理工大学|113.783993,23.047200
厦门大学|118.093521,24.437226
浙江大学|117.144400,35.096577
中国科学技术大学|117.263450,31.839082
重庆大学|106.472604,29.563815
哈尔滨工业大学|113.954441,22.537646
吉林大学|125.279958,43.826249
兰州大学|103.856588,36.049956
